Poisson,Requin
864,281
761,281
698,281
640,281
596,281
1032,281
1022,281
973,237
917,224
1216,179
1532,159
1593,139
1550,134
1777,118
2276,111
2632,97
2714,94
2900,141
3411,167
3933,173
4219,176
4391,175
4691,175
5088,174
5373,173
5556,173
5682,173
5843,173
5970,173
6048,173
6113,173
6157,173
6168,173
6159,207
6092,267
6019,310
5978,332
5941,340
5915,342
5880,346
5848,346
5844,346
5842,346
5827,346
5824,346
5816,346
5841,346
5827,346
5833,346
5809,365
5762,421
5639,509
5512,579
5395,628
5241,655
5107,670
4979,683
4850,688
4723,692
4592,692
4464,692
4375,692
4244,692
4125,691
4030,690
3936,701
3831,738
3664,810
3458,918
3185,1031
2900,1134
2569,1197
2225,1269
1910,1300
1562,1315
1226,1319
994,1308
838,1291
691,1258
548,1213
441,1163
375,1117
331,1081
270,1072
219,1107
170,1192
133,1295
98,1406
71,1477
56,1520
41,1489
26,1420
22,1311
23,1200
18,1051
14,907
14,791
13,712
15,650
14,612
12,600
13,609
16,648
19,700
17,734
16,758
14,767
20,743
17,704
16,641
16,563
18,501
20,453
20,399
20,358
19,325
21,318
22,322
23,330
23,340
26,362
29,373
33,382
35,371
38,356
44,330
53,295
57,261
62,231
68,199
76,175
91,155
101,143
112,132
126,131
142,135
166,137
182,136
201,142
226,142
257,133
286,129
314,112
338,99
378,85
416,77
453,64
487,52
532,45
571,37
622,32
666,32
714,29
767,29
827,28
883,27
934,29
989,29
1042,29
1103,30
1160,29
1225,29
1291,28
1370,29
1447,29
1507,28
1577,27
1650,26
1736,25
1815,25
1887,25
1968,28
2066,30
2152,32
2231,34
2312,36
2397,37
2509,38
2599,40
2688,43
2772,45
2876,47
2983,47
3083,47
3198,48
3308,48
3429,49
3543,51
3656,57
3760,61
3897,63
4012,67
4135,70
4249,72
4393,75
4514,80
4635,84
4743,88
4843,91
4949,94
5024,94
5098,95
5169,97
5259,98
5320,102
5366,113
5407,120
5450,123
5500,128
5535,136
5565,139
5581,150
5597,159
5593,164
5595,173
5588,175
5591,175
5583,179
5590,182
5583,187
5582,190
5577,197
5563,209
5546,222
5520,228
5491,231
5446,237
5418,244
5386,251
5342,265
5292,270
5256,272
5211,282
5172,286
5124,287
5072,296
5031,294
4992,294
4958,296
4920,304
4871,313
4831,320
4779,326
4742,324
4700,331
4669,333
4619,341
4587,343
4531,347
4500,360
4460,362
4397,363
4336,359
4298,355
4244,353
4186,366
4130,369
4101,378
4043,383
3974,390
3913,395
3851,396
3796,417
3744,424
3695,427
3643,433
3594,443
3531,453
3482,458
3429,457
3373,453
3317,461
3253,464
3174,464
3092,480
3031,481
2974,483
2919,483
2848,496
2780,506
2694,519
2630,521
2555,523
2510,540
2441,546
2400,556
2356,562
2300,566
2254,570
2227,565
2171,569
2136,571
2089,572
2077,571
2024,579
1987,587
1949,583
1951,582
1916,589
1902,594
1868,593
1865,604
1846,609
1811,602
1794,605
1778,612
1765,600
1751,595
1731,587
1733,577
1719,571
1707,570
1712,574
1721,572
1726,578
1732,581
1723,584
1711,579
1726,575
1746,578
1756,582
1756,576
1763,578
1779,573
1789,574
1799,577
1801,563
1825,554
1851,555
1846,542
1841,548
1844,546
1865,544
1866,550
1845,551
1853,556
1869,562
1856,566
1855,576
1873,575
1905,577
1931,580
1948,580
1967,587
1988,580
2009,588
2022,583
2036,584
2050,598
2088,607
2097,609
2091,616
2083,609
2093,613
2085,620
2038,625
2036,622
2025,612
2072,603
2057,606
2038,607
2046,611
2028,616
2010,620
1971,626
1935,623
1914,627
1866,637
1813,653
1758,664
1706,671
1683,676
1633,689
1593,686
1547,679
1493,681
1479,682
1443,678
1427,681
1413,702
1389,693
1386,699
1369,704
1340,699
1307,714
1291,713
1258,702
1222,702
1173,697
1169,689
1148,676
1138,673
1128,658
1116,646
1138,641
1120,634
1124,635
1101,628
1097,608
1097,611
1103,613
1097,616
1107,609
1117,594
1124,586
1107,578
1099,574
1117,566
1131,559
1151,550
1165,537
1184,535
1212,534
1261,517
1278,522
1301,503
1354,498
1411,495
1450,493
1482,484
1521,498
1566,488
1618,488
1658,479
1697,479
1743,471
1797,473
1816,466
1856,472
1894,469
1943,464
1976,457
1996,452
2066,451
2106,448
2168,446
2200,460
2215,465
2231,464
2275,469
2286,478
2282,483
2275,491
2283,491
2295,493
2324,493
2329,500
2326,497
2319,510
2327,507
2351,515
2362,527
2356,535
2378,556
2386,568
2382,579
2364,589
2365,588
2371,611
2370,614
2356,612
2373,615
2378,605
2366,597
2357,598
2368,596
2379,592
2379,590
2373,602
2362,608
2343,634
2317,645
2291,653
2253,656
2233,659
2201,659
2165,665
2131,646
2118,636
2105,635
2086,632
2052,626
2047,620
2034,613
2029,618
2007,617
2017,633
1987,646
1963,655
1933,659
1892,660
1854,657
1856,654
1820,650
1795,634
1773,624
1770,612
1766,597
1726,583
1704,577
1706,582
1714,577
1703,578
1693,599
1703,597
1696,610
1697,625
1701,624
1707,626
1714,617
1743,610
1738,600
1730,592
1734,571
1751,552
1761,536
1770,525
1799,528
1822,513
1847,511
1855,506
1871,501
1873,508
1890,510
1920,511
1916,512
1930,530
1953,517
1956,532
1954,527
1973,513
1962,514
1959,511
1954,496
1970,496
1974,484
1984,485
1999,486
2016,491
2028,490
2034,496
2054,497
2060,503
2069,519
2084,529
2114,530
2144,521
2146,519
2169,522
2174,520
2215,509
2246,498
2279,499
2316,506
2328,506
2365,507
2399,511
2413,503
2417,504
2441,516
2467,530
2477,534
2476,534
2478,529
2494,530
2502,530
2540,523
2552,518
2569,513
2583,510
2596,510
2603,500
2597,504
2595,509
2613,501
2617,506
2636,515
2622,533
2615,553
2621,557
2616,560
2607,561
2610,553
2620,552
2632,541
2631,517
2637,524
2636,523
2644,513
2659,516
2648,522
2646,519
2670,524
2671,531
2657,547
2630,561
2610,561
2608,564
2570,557
2568,559
2537,550
2523,539
2490,532
2487,518
2458,513
2453,523
2436,537
2406,540
2375,546
2339,559
2308,582
2274,594
2225,606
2176,618
2124,626
2097,628
2041,637
1997,622
1968,612
1950,606
1936,602
1920,599
1917,602
1911,598
1927,603
1938,596
1940,599
1949,608
1953,623
1936,627
1929,631
1897,652
1876,653
1873,651
1872,642
1863,625
1876,618
1893,606
1909,587
1928,566
1925,568
1941,557
1930,548
1952,551
1960,548
1984,552
1985,567
1973,570
1974,587
1939,612
1916,607
1916,605
1904,600
1907,591
1897,577
1906,573
1901,546
1902,539
1913,524
1912,512
1921,508
1905,506
1903,508
1902,519
1916,535
1920,552
1900,568
1883,571
1874,570
1872,567
1848,560
1822,548
1818,528
1823,518
1814,505
1818,510
1784,522
1791,523
1797,522
1786,518
1779,520
1781,537
1785,548
1771,558
1782,571
1777,576
1787,583
1776,580
1798,580
1823,575
1830,567
1846,554
1869,546
1892,543
1919,536
1937,535
1940,530
1970,520
2004,524
2045,530
2069,539
2088,541
2120,547
2131,542
2142,559
2148,550
2159,546
2168,544
2164,542
2169,537
2187,535
2207,529
2216,531
2207,535
2213,536
2214,545
2228,552
2200,553
2203,568
2192,571
2172,576
2167,581
2151,578
2117,588
2074,585
2044,576
2021,575
2006,571
1982,571
1948,580
1934,583
1893,580
1855,590
1788,594
1749,598
1715,590
1670,597
1619,609
1562,610
1515,615
1489,612
1444,622
1415,622
1377,625
1364,620
1317,617
1298,614
1307,604
1287,597
1281,585
1267,575
1265,568
1285,552
1313,554
1319,559
1322,558
1347,564
1379,564
1396,563
1409,549
1431,544
1477,538
1524,522
1561,524
1607,512
1686,505
1747,500
1811,480
1877,474
1950,475
2040,467
2098,473
2135,472
2169,474
2252,477
2306,477
2342,470
2395,474
2443,474
2505,471
2529,471
2569,459
2607,461
2659,465
2672,460
2708,459
2751,464
2781,465
2791,479
2794,478
2813,482
2843,492
2868,497
2858,504
2877,514
2865,518
2880,528
2871,530
